Device Type,GPS Coordinates,Panic Button Activation,Incident Type,Response Time (minutes),Response Outcome,Date,Time,Day,Location Type,Age,Emergency Contact Status
Smartwatch,"(15.684386, 80.162983)",Yes,Teasing,7,In Progress,23-04-2024,14:54,Tuesday,High-risk Zone,20,Notified with Delay
Mobile,"(15.635249, 80.089781)",Yes,Teasing,29,In Progress,02-11-2024,06:22,Saturday,Moderate-risk Zone,38,Notified with Confirmation
Mobile,"(15.518117, 80.085704)",No,Assault,14,In Progress,10-09-2024,11:10,Tuesday,Safe Zone,36,Notified with Confirmation
Mobile,"(15.512818, 80.17175)",No,Teasing,7,Unresolved,15-04-2024,01:05,Monday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.695357, 80.005605)",No,Assault,11,Resolved,16-08-2024,01:21,Friday,Safe Zone,38,Notified with Delay
Mobile,"(15.540751, 80.168373)",Yes,Teasing,22,Resolved,29-08-2024,18:03,Thursday,Safe Zone,43,Notified
Smartwatch,"(15.576687, 80.05563)",Yes,Teasing,25,Unresolved,02-08-2024,21:08,Friday,High-risk Zone,28,Notified with Delay
Smartwatch,"(15.684688, 80.018141)",Yes,Teasing,29,Unresolved,17-09-2024,15:51,Tuesday,Moderate-risk Zone,35,Notified with Delay
Panic Button Device,"(15.606851, 80.01996)",No,Teasing,23,In Progress,20-02-2024,18:02,Tuesday,Safe Zone,30,Notified
Smartwatch,"(15.642089, 80.153565)",No,Assault,8,Resolved,23-05-2024,04:13,Thursday,High-risk Zone,22,Notified with Delay
Panic Button Device,"(15.582845, 80.016729)",Yes,Assault,23,Resolved,24-07-2024,11:15,Wednesday,Moderate-risk Zone,35,Notified with Confirmation
Panic Button Device,"(15.519631, 80.108407)",Yes,Assault,29,In Progress,10-01-2024,16:51,Wednesday,Moderate-risk Zone,34,Notified
Panic Button Device,"(15.618733, 80.12453)",No,Teasing,8,Resolved,21-11-2024,17:37,Thursday,High-risk Zone,25,Notified
Smartwatch,"(15.685876, 80.095931)",Yes,Teasing,19,In Progress,17-09-2024,11:12,Tuesday,Safe Zone,20,Notified with Delay
Smartwatch,"(15.593508, 80.189741)",No,Assault,18,In Progress,30-08-2024,23:17,Friday,Safe Zone,17,Notified with Confirmation
Mobile,"(15.573882, 80.050505)",Yes,Teasing,23,Unresolved,01-01-2024,23:10,Monday,Safe Zone,33,Notified with Delay
Panic Button Device,"(15.517101, 80.1694)",Yes,Teasing,9,In Progress,16-06-2024,13:39,Sunday,Safe Zone,24,Notified
Mobile,"(15.592006, 80.116427)",No,Teasing,25,In Progress,29-04-2024,09:54,Monday,Safe Zone,24,Notified
Panic Button Device,"(15.603484, 80.121399)",Yes,Teasing,6,Resolved,10-05-2024,01:53,Friday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.618473, 80.14126)",Yes,Teasing,19,Resolved,17-08-2024,00:56,Saturday,Moderate-risk Zone,21,Notified with Delay
Smartwatch,"(15.682968, 80.157283)",No,Teasing,3,Unresolved,26-07-2024,16:14,Friday,Moderate-risk Zone,31,Notified with Delay
Panic Button Device,"(15.508496, 80.167686)",No,Teasing,18,In Progress,14-12-2024,05:20,Saturday,Moderate-risk Zone,24,Notified
Mobile,"(15.670274, 80.008388)",Yes,Teasing,20,Unresolved,15-01-2024,07:21,Monday,Safe Zone,38,Notified
Mobile,"(15.658144, 80.043713)",Yes,Assault,28,Resolved,23-01-2024,13:31,Tuesday,Safe Zone,36,Notified with Delay
Smartwatch,"(15.66598, 80.101321)",Yes,Teasing,8,In Progress,17-01-2024,18:48,Wednesday,High-risk Zone,18,Notified with Delay
Mobile,"(15.654869, 80.049282)",Yes,Teasing,27,Resolved,05-02-2024,13:59,Monday,Safe Zone,23,Notified with Delay
Mobile,"(15.666396, 80.04197)",Yes,Teasing,8,Unresolved,02-02-2024,22:28,Friday,High-risk Zone,23,Notified
Smartwatch,"(15.622105, 80.046331)",No,Teasing,11,Resolved,05-11-2024,18:51,Tuesday,High-risk Zone,26,Notified
Mobile,"(15.542829, 80.0262)",Yes,Assault,20,Resolved,01-02-2024,18:51,Thursday,Safe Zone,44,Notified with Confirmation
Mobile,"(15.532141, 80.151354)",Yes,Teasing,6,Resolved,31-08-2024,23:18,Saturday,Moderate-risk Zone,38,Notified
Smartwatch,"(15.551526, 80.142761)",Yes,Teasing,21,Unresolved,01-07-2024,22:04,Monday,Moderate-risk Zone,24,Notified with Delay
Panic Button Device,"(15.585028, 80.168356)",Yes,Teasing,23,Resolved,28-12-2024,17:18,Saturday,Moderate-risk Zone,20,Notified
Smartwatch,"(15.666537, 80.094811)",Yes,Assault,21,Unresolved,02-10-2024,12:05,Wednesday,Moderate-risk Zone,35,Notified
Smartwatch,"(15.698775, 80.083813)",No,Assault,12,In Progress,11-10-2024,15:32,Friday,Moderate-risk Zone,45,Notified with Delay
Panic Button Device,"(15.542868, 80.00276)",Yes,Teasing,11,Unresolved,26-07-2024,18:49,Friday,High-risk Zone,39,Notified with Confirmation
Smartwatch,"(15.62675, 80.080349)",No,Teasing,8,Unresolved,20-06-2024,14:08,Thursday,Safe Zone,29,Notified with Confirmation
Mobile,"(15.57197, 80.128145)",Yes,Assault,24,In Progress,07-07-2024,20:55,Sunday,High-risk Zone,38,Notified with Delay
Panic Button Device,"(15.560798, 80.031644)",No,Assault,23,Resolved,26-03-2024,00:46,Tuesday,High-risk Zone,34,Notified with Confirmation
Panic Button Device,"(15.522598, 80.079923)",No,Teasing,30,Resolved,16-05-2024,06:18,Thursday,Safe Zone,29,Notified with Delay
Mobile,"(15.614369, 80.115623)",No,Assault,28,In Progress,14-05-2024,13:11,Tuesday,High-risk Zone,15,Notified with Delay
Mobile,"(15.689667, 80.1397)",No,Teasing,15,Unresolved,22-10-2024,00:55,Tuesday,Moderate-risk Zone,34,Notified with Confirmation
Mobile,"(15.662071, 80.108193)",Yes,Assault,22,In Progress,19-07-2024,00:40,Friday,Moderate-risk Zone,36,Notified
Smartwatch,"(15.557031, 80.161864)",Yes,Teasing,22,In Progress,24-12-2024,17:21,Tuesday,Moderate-risk Zone,15,Notified with Delay
Mobile,"(15.688514, 80.108046)",No,Assault,19,Resolved,04-01-2024,02:40,Thursday,Safe Zone,28,Notified with Confirmation
Smartwatch,"(15.627286, 80.105608)",Yes,Teasing,29,Unresolved,27-02-2024,07:56,Tuesday,High-risk Zone,27,Notified with Confirmation
Panic Button Device,"(15.596123, 80.055102)",No,Assault,14,In Progress,06-03-2024,01:07,Wednesday,High-risk Zone,30,Notified
Smartwatch,"(15.660097, 80.043854)",No,Assault,29,In Progress,14-08-2024,21:32,Wednesday,Moderate-risk Zone,28,Notified
Panic Button Device,"(15.624517, 80.065165)",Yes,Teasing,17,Resolved,10-06-2024,18:55,Monday,High-risk Zone,39,Notified
Mobile,"(15.647075, 80.186553)",No,Teasing,17,Resolved,23-06-2024,17:39,Sunday,Moderate-risk Zone,27,Notified
Smartwatch,"(15.649568, 80.197746)",Yes,Assault,26,Resolved,25-03-2024,06:11,Monday,Safe Zone,28,Notified
Mobile,"(15.589225, 80.13902)",Yes,Assault,25,In Progress,25-03-2024,15:03,Monday,High-risk Zone,37,Notified with Confirmation
Mobile,"(15.561344, 80.139952)",No,Assault,6,Unresolved,23-03-2024,09:32,Saturday,Moderate-risk Zone,22,Notified with Delay
Panic Button Device,"(15.601558, 80.105073)",No,Teasing,8,Resolved,05-08-2024,21:09,Monday,Moderate-risk Zone,45,Notified with Confirmation
Mobile,"(15.639422, 80.151387)",Yes,Assault,9,Unresolved,17-06-2024,07:49,Monday,Moderate-risk Zone,20,Notified with Confirmation
Panic Button Device,"(15.640382, 80.173009)",Yes,Teasing,14,In Progress,14-12-2024,04:21,Saturday,High-risk Zone,30,Notified with Confirmation
Smartwatch,"(15.529958, 80.156602)",Yes,Teasing,25,In Progress,16-06-2024,11:29,Sunday,Moderate-risk Zone,17,Notified with Confirmation
Panic Button Device,"(15.557182, 80.002206)",No,Assault,23,In Progress,26-09-2024,21:40,Thursday,Safe Zone,42,Notified with Confirmation
Mobile,"(15.627358, 80.023327)",No,Assault,3,Resolved,08-09-2024,10:24,Sunday,High-risk Zone,22,Notified with Delay
Panic Button Device,"(15.673871, 80.063482)",Yes,Teasing,13,In Progress,15-06-2024,18:31,Saturday,Moderate-risk Zone,26,Notified
Smartwatch,"(15.697299, 80.117493)",No,Teasing,9,In Progress,28-12-2024,13:29,Saturday,High-risk Zone,45,Notified
Mobile,"(15.516205, 80.166541)",No,Assault,24,Unresolved,28-09-2024,18:45,Saturday,High-risk Zone,19,Notified with Confirmation
Mobile,"(15.556542, 80.000127)",No,Assault,5,In Progress,10-04-2024,07:02,Wednesday,Moderate-risk Zone,40,Notified with Confirmation
Mobile,"(15.666312, 80.021284)",Yes,Teasing,21,Unresolved,11-03-2024,15:13,Monday,Moderate-risk Zone,29,Notified with Delay
Panic Button Device,"(15.673784, 80.170049)",Yes,Assault,22,In Progress,01-05-2024,07:12,Wednesday,Moderate-risk Zone,37,Notified
Mobile,"(15.563034, 80.124053)",No,Teasing,2,Resolved,10-09-2024,15:00,Tuesday,Safe Zone,45,Notified
Mobile,"(15.641995, 80.139825)",Yes,Teasing,28,Unresolved,17-01-2024,13:32,Wednesday,High-risk Zone,28,Notified
Mobile,"(15.57322, 80.038331)",Yes,Assault,29,Resolved,20-10-2024,10:41,Sunday,Safe Zone,19,Notified with Delay
Panic Button Device,"(15.501799, 80.122115)",No,Teasing,19,In Progress,26-08-2024,02:37,Monday,High-risk Zone,42,Notified with Delay
Mobile,"(15.504154, 80.196679)",No,Teasing,13,Unresolved,05-01-2024,07:39,Friday,Safe Zone,18,Notified
Mobile,"(15.670686, 80.129456)",No,Assault,14,Resolved,05-10-2024,15:09,Saturday,Safe Zone,28,Notified with Delay
Smartwatch,"(15.589489, 80.086902)",Yes,Assault,11,Resolved,15-02-2024,03:52,Thursday,Safe Zone,15,Notified with Delay
Mobile,"(15.618234, 80.18591)",Yes,Assault,7,Resolved,29-10-2024,04:21,Tuesday,High-risk Zone,21,Notified with Delay
Mobile,"(15.689962, 80.087333)",Yes,Teasing,24,Unresolved,31-05-2024,01:21,Friday,High-risk Zone,23,Notified with Confirmation
Smartwatch,"(15.588089, 80.10585)",No,Assault,9,Unresolved,24-10-2024,18:52,Thursday,Safe Zone,15,Notified with Delay
Panic Button Device,"(15.656812, 80.030936)",No,Assault,5,In Progress,08-04-2024,16:48,Monday,Moderate-risk Zone,37,Notified with Confirmation
Smartwatch,"(15.564648, 80.180215)",Yes,Teasing,11,Resolved,10-12-2024,10:04,Tuesday,Safe Zone,29,Notified
Panic Button Device,"(15.588654, 80.013756)",No,Teasing,25,Unresolved,13-04-2024,21:09,Saturday,Safe Zone,37,Notified with Confirmation
Panic Button Device,"(15.534712, 80.122457)",Yes,Assault,28,Resolved,09-10-2024,22:30,Wednesday,Safe Zone,19,Notified
Panic Button Device,"(15.605657, 80.172882)",No,Assault,4,Resolved,07-06-2024,18:00,Friday,Safe Zone,15,Notified
Mobile,"(15.66363, 80.069484)",No,Assault,17,Unresolved,01-01-2024,08:55,Monday,High-risk Zone,42,Notified with Delay
Panic Button Device,"(15.556138, 80.065965)",No,Assault,11,Resolved,02-07-2024,20:53,Tuesday,Moderate-risk Zone,35,Notified with Confirmation
Panic Button Device,"(15.534609, 80.131344)",No,Teasing,24,Resolved,27-07-2024,22:30,Saturday,Safe Zone,42,Notified with Confirmation
Mobile,"(15.654378, 80.001391)",Yes,Teasing,17,Unresolved,05-09-2024,11:21,Thursday,High-risk Zone,32,Notified with Delay
Panic Button Device,"(15.596021, 80.092272)",Yes,Assault,6,Resolved,08-05-2024,01:56,Wednesday,Moderate-risk Zone,22,Notified with Confirmation
Mobile,"(15.526757, 80.088806)",No,Assault,11,Unresolved,18-11-2024,07:06,Monday,High-risk Zone,35,Notified with Confirmation
Panic Button Device,"(15.622284, 80.134558)",No,Teasing,17,Unresolved,17-06-2024,21:36,Monday,Moderate-risk Zone,32,Notified
Smartwatch,"(15.661901, 80.065452)",Yes,Teasing,2,Unresolved,09-08-2024,15:55,Friday,Safe Zone,23,Notified
Panic Button Device,"(15.582892, 80.016301)",Yes,Teasing,4,Resolved,04-12-2024,20:28,Wednesday,Safe Zone,32,Notified with Delay
Smartwatch,"(15.663672, 80.074371)",No,Teasing,25,Unresolved,09-07-2024,20:30,Tuesday,Moderate-risk Zone,42,Notified with Confirmation
Smartwatch,"(15.592167, 80.029434)",No,Assault,14,In Progress,11-08-2024,19:34,Sunday,Safe Zone,34,Notified
Mobile,"(15.607765, 80.062939)",No,Assault,3,In Progress,26-09-2024,07:58,Thursday,High-risk Zone,30,Notified with Delay
Mobile,"(15.580057, 80.144656)",No,Assault,29,Unresolved,20-10-2024,18:39,Sunday,Safe Zone,39,Notified with Confirmation
Panic Button Device,"(15.658532, 80.199593)",Yes,Assault,20,Unresolved,03-05-2024,11:07,Friday,High-risk Zone,32,Notified with Delay
Panic Button Device,"(15.668238, 80.136461)",No,Assault,15,Unresolved,24-02-2024,18:30,Saturday,High-risk Zone,33,Notified with Confirmation
Mobile,"(15.62474, 80.02101)",Yes,Assault,28,Unresolved,15-11-2024,01:57,Friday,Safe Zone,42,Notified with Confirmation
Panic Button Device,"(15.568384, 80.004764)",Yes,Assault,27,Resolved,05-09-2024,08:27,Thursday,Moderate-risk Zone,15,Notified
Mobile,"(15.671687, 80.029649)",Yes,Teasing,23,Unresolved,05-06-2024,18:50,Wednesday,Moderate-risk Zone,28,Notified with Confirmation
Mobile,"(15.604728, 80.010667)",Yes,Teasing,28,Unresolved,02-12-2024,02:33,Monday,Safe Zone,25,Notified with Confirmation
Panic Button Device,"(15.665382, 80.140702)",Yes,Teasing,10,Unresolved,08-10-2024,00:36,Tuesday,Safe Zone,29,Notified with Confirmation
Mobile,"(15.622767, 80.166833)",Yes,Assault,9,Unresolved,28-08-2024,12:28,Wednesday,Safe Zone,36,Notified
Panic Button Device,"(15.629114, 80.10213)",Yes,Teasing,6,Unresolved,01-01-2024,13:23,Monday,High-risk Zone,35,Notified with Delay
Smartwatch,"(15.528508, 80.164725)",No,Teasing,14,Resolved,06-07-2024,00:20,Saturday,Moderate-risk Zone,41,Notified with Confirmation
Smartwatch,"(15.643735, 80.117918)",Yes,Assault,26,Resolved,23-08-2024,12:05,Friday,High-risk Zone,35,Notified with Confirmation
Smartwatch,"(15.560591, 80.009821)",Yes,Teasing,24,Resolved,10-08-2024,11:35,Saturday,Safe Zone,31,Notified with Confirmation
Panic Button Device,"(15.557978, 80.103233)",Yes,Teasing,14,Resolved,10-04-2024,05:39,Wednesday,Moderate-risk Zone,25,Notified with Delay
Smartwatch,"(15.688619, 80.000093)",No,Assault,15,In Progress,17-12-2024,05:05,Tuesday,Moderate-risk Zone,45,Notified with Delay
Mobile,"(15.561661, 80.165453)",Yes,Assault,28,In Progress,03-06-2024,21:22,Monday,Moderate-risk Zone,21,Notified with Confirmation
Smartwatch,"(15.641439, 80.180366)",Yes,Teasing,22,In Progress,05-09-2024,09:35,Thursday,Moderate-risk Zone,41,Notified with Confirmation
Panic Button Device,"(15.671857, 80.185121)",No,Teasing,11,In Progress,13-10-2024,04:06,Sunday,High-risk Zone,17,Notified with Delay
Panic Button Device,"(15.699566, 80.123291)",Yes,Teasing,4,Unresolved,21-10-2024,08:05,Monday,Safe Zone,28,Notified with Delay
Panic Button Device,"(15.642847, 80.076738)",Yes,Teasing,10,In Progress,04-09-2024,07:24,Wednesday,Moderate-risk Zone,45,Notified with Confirmation
Smartwatch,"(15.637701, 80.195827)",Yes,Assault,20,In Progress,28-04-2024,23:08,Sunday,Safe Zone,28,Notified with Confirmation
Mobile,"(15.562697, 80.054357)",No,Assault,5,Resolved,27-12-2024,05:04,Friday,Safe Zone,38,Notified with Confirmation
Panic Button Device,"(15.528145, 80.134969)",Yes,Assault,30,Resolved,06-04-2024,10:42,Saturday,Safe Zone,28,Notified with Delay
Mobile,"(15.668678, 80.142483)",No,Assault,19,Unresolved,22-06-2024,14:38,Saturday,Moderate-risk Zone,34,Notified
Mobile,"(15.525972, 80.074342)",Yes,Assault,3,In Progress,26-12-2024,02:16,Thursday,Moderate-risk Zone,44,Notified with Confirmation
Mobile,"(15.577874, 80.095332)",Yes,Teasing,13,In Progress,28-06-2024,06:07,Friday,Moderate-risk Zone,34,Notified with Delay
Mobile,"(15.51917, 80.194297)",Yes,Assault,21,In Progress,19-06-2024,07:30,Wednesday,High-risk Zone,28,Notified
Smartwatch,"(15.622368, 80.185933)",No,Teasing,9,Unresolved,22-06-2024,21:08,Saturday,Moderate-risk Zone,25,Notified
Smartwatch,"(15.594391, 80.053894)",Yes,Assault,23,Unresolved,04-09-2024,10:50,Wednesday,Moderate-risk Zone,25,Notified with Delay
Smartwatch,"(15.669041, 80.073521)",Yes,Teasing,11,In Progress,14-02-2024,07:27,Wednesday,Safe Zone,30,Notified
Mobile,"(15.553031, 80.052999)",Yes,Assault,7,Resolved,06-03-2024,02:10,Wednesday,Safe Zone,21,Notified with Delay
Smartwatch,"(15.597553, 80.159783)",Yes,Assault,4,Resolved,23-01-2024,07:27,Tuesday,High-risk Zone,32,Notified with Delay
Panic Button Device,"(15.574847, 80.174214)",Yes,Teasing,24,Unresolved,17-04-2024,17:59,Wednesday,High-risk Zone,15,Notified with Confirmation
Smartwatch,"(15.634954, 80.079253)",Yes,Teasing,6,Resolved,20-11-2024,03:35,Wednesday,Safe Zone,27,Notified
Mobile,"(15.576892, 80.183139)",No,Assault,16,Unresolved,13-03-2024,16:24,Wednesday,Moderate-risk Zone,25,Notified with Delay
Mobile,"(15.642731, 80.198699)",No,Assault,25,Resolved,07-11-2024,04:58,Thursday,Safe Zone,32,Notified with Delay
Smartwatch,"(15.599376, 80.125579)",No,Assault,4,In Progress,10-08-2024,20:43,Saturday,Moderate-risk Zone,44,Notified with Delay
Mobile,"(15.668307, 80.17991)",No,Teasing,23,Resolved,03-05-2024,15:29,Friday,Moderate-risk Zone,39,Notified
Mobile,"(15.578419, 80.055919)",No,Teasing,11,Resolved,28-02-2024,00:51,Wednesday,Safe Zone,33,Notified
Mobile,"(15.530951, 80.109219)",Yes,Assault,18,Unresolved,14-06-2024,13:21,Friday,High-risk Zone,25,Notified with Confirmation
Panic Button Device,"(15.698193, 80.065348)",No,Teasing,7,Unresolved,02-10-2024,11:32,Wednesday,High-risk Zone,22,Notified with Confirmation
Mobile,"(15.696479, 80.135133)",Yes,Teasing,14,Resolved,11-12-2024,04:29,Wednesday,Safe Zone,23,Notified
Panic Button Device,"(15.576274, 80.071176)",No,Assault,27,Resolved,25-08-2024,03:19,Sunday,Safe Zone,37,Notified with Confirmation
Smartwatch,"(15.55928, 80.131043)",No,Teasing,23,In Progress,15-03-2024,18:34,Friday,High-risk Zone,17,Notified with Confirmation
Smartwatch,"(15.573025, 80.197519)",Yes,Teasing,30,Unresolved,08-07-2024,03:25,Monday,Moderate-risk Zone,42,Notified
Mobile,"(15.667901, 80.155964)",Yes,Assault,23,In Progress,29-06-2024,18:05,Saturday,Safe Zone,27,Notified with Confirmation
Mobile,"(15.598185, 80.053709)",No,Assault,8,In Progress,04-04-2024,02:22,Thursday,Safe Zone,30,Notified with Confirmation
Mobile,"(15.645054, 80.09346)",No,Teasing,9,In Progress,31-07-2024,17:06,Wednesday,Safe Zone,33,Notified with Delay
Smartwatch,"(15.592608, 80.037236)",No,Teasing,19,In Progress,22-10-2024,06:13,Tuesday,Moderate-risk Zone,22,Notified with Confirmation
Smartwatch,"(15.572093, 80.046497)",Yes,Assault,14,Resolved,22-03-2024,14:47,Friday,Safe Zone,25,Notified with Delay
Panic Button Device,"(15.594541, 80.000491)",No,Assault,3,Resolved,24-09-2024,18:42,Tuesday,High-risk Zone,35,Notified with Confirmation
Smartwatch,"(15.678232, 80.005742)",Yes,Teasing,12,In Progress,16-08-2024,16:52,Friday,High-risk Zone,25,Notified with Delay
Mobile,"(15.688781, 80.065726)",Yes,Teasing,14,Resolved,09-10-2024,02:38,Wednesday,Safe Zone,42,Notified with Confirmation
Panic Button Device,"(15.611175, 80.146227)",Yes,Teasing,11,Unresolved,01-05-2024,16:25,Wednesday,Safe Zone,25,Notified
Smartwatch,"(15.698253, 80.046804)",Yes,Teasing,25,Unresolved,22-03-2024,11:19,Friday,Safe Zone,27,Notified with Delay
Smartwatch,"(15.679204, 80.072974)",Yes,Teasing,11,Unresolved,13-11-2024,18:56,Wednesday,Safe Zone,32,Notified with Confirmation
Panic Button Device,"(15.506829, 80.11312)",Yes,Teasing,14,Unresolved,26-12-2024,10:52,Thursday,Moderate-risk Zone,37,Notified with Delay
Smartwatch,"(15.584448, 80.08512)",Yes,Assault,6,In Progress,27-10-2024,22:52,Sunday,Moderate-risk Zone,24,Notified with Confirmation
Panic Button Device,"(15.658194, 80.059448)",Yes,Teasing,17,Resolved,18-04-2024,09:53,Thursday,Safe Zone,34,Notified with Confirmation
Panic Button Device,"(15.519722, 80.104042)",Yes,Assault,24,Resolved,05-07-2024,21:18,Friday,High-risk Zone,44,Notified with Delay
Panic Button Device,"(15.552429, 80.143537)",Yes,Assault,28,Unresolved,27-06-2024,09:52,Thursday,Safe Zone,25,Notified with Confirmation
Mobile,"(15.665757, 80.029191)",No,Assault,25,In Progress,31-08-2024,01:15,Saturday,High-risk Zone,20,Notified
Panic Button Device,"(15.602723, 80.12792)",No,Assault,19,Resolved,17-01-2024,22:03,Wednesday,Moderate-risk Zone,31,Notified with Confirmation
Smartwatch,"(15.528278, 80.104929)",No,Teasing,4,Unresolved,23-04-2024,02:55,Tuesday,Safe Zone,23,Notified
Smartwatch,"(15.543587, 80.133768)",No,Assault,7,In Progress,23-09-2024,11:17,Monday,Moderate-risk Zone,23,Notified with Delay
Mobile,"(15.631784, 80.079332)",No,Assault,10,Unresolved,17-12-2024,23:36,Tuesday,High-risk Zone,33,Notified with Confirmation
Smartwatch,"(15.519423, 80.169365)",No,Teasing,11,In Progress,14-01-2024,07:26,Sunday,High-risk Zone,17,Notified
